"Team","yellow_card_ratio"
"  Leeds United ",2.7027027027027
"  Newcastle United ",2.13513513513514
"  Everton ",2.08108108108108
"  Aston Villa ",2.08108108108108
"  Brighton and Hove Albion ",1.94594594594595
"  Manchester United ",1.91891891891892
"  Burnley ",1.81081081081081
"  Tottenham Hotspur ",1.78378378378378
"  Crystal Palace ",1.75675675675676
"  Chelsea ",1.7027027027027
"  Southampton ",1.67567567567568
"  Arsenal ",1.62162162162162
"  Wolverhampton Wanderers ",1.59459459459459
"  Brentford ",1.59459459459459
"  Watford ",1.54054054054054
"  Leicester City ",1.48648648648649
"  Norwich City ",1.40540540540541
"  Liverpool ",1.32432432432432
"  West Ham United ",1.24324324324324
"  Manchester City ",1.13513513513514
