 Team,Matches,Attempts,Attempts on target,Attempts off Target,Attempts Blocked
  Manchester City ,2,23,9,14,10
  Manchester United ,2,21,9,12,11
  Newcastle United ,2,21,11,10,6
  Arsenal ,2,21,9,12,8
  Brighton and Hove Albion ,2,20,11,9,8
  Wolverhampton Wanderers ,2,18,7,11,4
  Southampton ,2,18,6,12,6
  Leeds United ,2,18,9,9,7
  Aston Villa ,2,17,6,11,10
  Brentford ,2,17,10,7,4
  Leicester City ,2,16,7,9,4
  Tottenham Hotspur ,1,14,8,6,4
  Everton ,2,13,8,5,10
  Fulham ,2,13,6,7,5
  Chelsea ,1,9,6,3,6
  Liverpool ,1,9,4,5,2
  Bournemouth ,2,7,4,3,3
  Crystal Palace ,1,4,2,2,6
  West Ham United ,1,3,1,2,3
 Nottingham Forest ,1,3,0,3,2
