 Team,Saves Made,Blocks,Total Clearances,Interceptions,Recoveries,Goals Conceded
  Everton ,35,39,217,86,480,7
  Newcastle United ,30,34,164,79,521,8
  Brentford ,30,27,111,77,455,12
 Nottingham Forest ,29,32,155,61,406,17
  Fulham ,28,32,173,71,457,15
  Bournemouth ,27,33,195,65,436,19
  Wolverhampton Wanderers ,24,34,139,65,506,9
  Aston Villa ,23,31,112,73,494,10
  Leeds United ,23,21,120,76,449,10
  Tottenham Hotspur ,22,37,160,73,434,10
  Leicester City ,21,18,116,68,413,22
  Manchester United ,21,30,146,71,405,14
  Southampton ,20,26,158,93,545,13
  Chelsea ,20,17,108,68,426,10
  Brighton and Hove Albion ,20,23,109,73,433,8
  West Ham United ,17,28,169,92,446,9
  Crystal Palace ,17,35,170,63,414,11
  Liverpool ,16,13,68,65,482,9
  Arsenal ,15,12,110,60,469,8
  Manchester City ,12,15,64,54,426,9
