 Team,Matches,Fouls Won,Fouls Conceded,Yellow Cards,Red Cards
  Wolverhampton Wanderers ,10,106,94,18,1
  Aston Villa ,10,125,126,23,0
 Nottingham Forest ,10,107,113,29,0
  Everton ,10,96,89,25,0
  West Ham United ,10,72,91,12,0
  Southampton ,10,95,103,13,0
  Bournemouth ,10,110,107,16,0
  Leicester City ,10,102,104,15,0
  Fulham ,10,88,96,28,1
  Newcastle United ,10,97,114,15,0
  Brentford ,10,106,83,14,0
  Tottenham Hotspur ,10,83,107,19,1
  Arsenal ,10,115,103,18,0
  Manchester City ,10,81,72,6,0
  Crystal Palace ,9,120,108,18,0
  Leeds United ,9,93,130,19,1
  Manchester United ,9,64,110,27,0
  Brighton and Hove Albion ,9,81,91,10,0
  Chelsea ,9,101,93,20,2
  Liverpool ,9,75,79,11,1
