 Team,Goals,Left Foot,Right Foot,Header,Own Goals,Penalties
  Manchester City ,99,46,36,14,3,7
  Liverpool ,94,39,39,16,0,7
  Chelsea ,76,26,37,12,1,8
  Tottenham Hotspur ,69,24,31,8,6,5
  Leicester City ,62,20,37,5,0,2
  Arsenal ,61,27,25,7,1,5
  West Ham United ,60,21,27,8,2,4
  Manchester United ,57,10,40,6,1,3
  Aston Villa ,52,15,29,6,2,3
  Crystal Palace ,50,17,27,6,0,6
  Brentford ,48,15,20,11,2,6
  Newcastle United ,44,4,28,9,3,3
  Southampton ,43,5,27,9,2,4
  Everton ,43,12,21,8,1,6
  Leeds United ,42,27,12,3,0,5
  Brighton and Hove Albion ,42,5,26,8,2,4
  Wolverhampton Wanderers ,38,11,19,5,3,1
  Watford ,34,6,19,8,1,1
  Burnley ,34,9,13,10,2,1
  Norwich City ,23,4,12,5,2,3
