 Team,Group Name,Matches,Wins,Draws,Losses,Points
  Arsenal ,,9,8,0,1,24
  Manchester City ,,9,7,2,0,23
  Tottenham Hotspur ,,9,6,2,1,20
  Chelsea ,,8,5,1,2,16
  Manchester United ,,8,5,0,3,15
  Brighton and Hove Albion ,,9,4,2,3,14
  West Ham United ,,9,3,1,5,10
  Bournemouth ,,9,3,3,3,12
  Fulham ,,9,3,2,4,11
  Newcastle United ,,9,3,5,1,14
  Brentford ,,10,3,4,3,13
  Aston Villa ,,9,2,3,4,9
  Southampton ,,9,2,1,6,7
  Everton ,,9,2,4,3,10
  Crystal Palace ,,8,2,3,3,9
  Leeds United ,,8,2,3,3,9
  Liverpool ,,8,2,4,2,10
  Wolverhampton Wanderers ,,9,1,3,5,6
 Nottingham Forest ,,9,1,2,6,5
  Leicester City ,,9,1,1,7,4
