 Team,Matches,Passes Attempted (PA),Passes Completed (PC),PC (%),Average Ball Possession
  Manchester City ,34,23335,20904,90%,67%
  Liverpool ,34,21037,17813,85%,63%
  Chelsea ,33,19664,17037,87%,61%
  Brighton and Hove Albion ,35,17570,14391,82%,55%
  Manchester United ,35,17269,14224,82%,51%
  Tottenham Hotspur ,33,16601,14092,85%,52%
  Arsenal ,33,15825,13131,83%,52%
  Wolverhampton Wanderers ,34,15789,12788,81%,50%
  Crystal Palace ,34,15496,12441,80%,51%
  Leicester City ,32,15336,12440,81%,51%
  Leeds United ,34,14928,11681,78%,53%
  West Ham United ,34,14645,11729,80%,47%
  Southampton ,35,14093,10787,77%,48%
  Norwich City ,34,12976,10006,77%,43%
  Brentford ,34,12909,9403,73%,44%
  Aston Villa ,33,12802,10178,80%,46%
  Watford ,34,11696,8469,72%,40%
  Newcastle United ,35,11559,8612,75%,40%
  Everton ,32,11134,8213,74%,40%
  Burnley ,34,11024,7573,69%,39%
