Referee,Matches,Red cards,Yellow cards
Craig Pawson,24,2,105
Anthony Taylor,24,4,93
Paul Tierney,24,2,98
Martin Atkinson,23,2,56
Mike Dean,23,2,74
Jonathan Moss,23,4,57
Michael Oliver,23,5,67
David Coote,19,2,90
Stuart Attwell,18,1,61
Andre Marriner,18,2,62
Kevin Friend,16,2,71
Chris Kavanagh,15,2,56
Andy Madley,15,2,34
Darren England,14,1,57
Simon Hooper,14,0,46
Peter Bankes,11,2,51
Robert Jones,11,0,31
Graham Scott,11,0,37
Jarred Gillett,8,1,30
John Brooks,4,0,21
Tony Harrington,2,0,4
Michael Salisbury,2,0,11
