Rank,Club,Stat,"



"
1.,     Leeds United ,101, 
2.,     Aston Villa ,79, 
3.,     Newcastle United ,79, 
4.,     Everton ,78, 
5.,     Manchester United ,75, 
6.,     Brighton and Hove Albion ,73, 
7.,     Burnley ,68, 
8.,     Crystal Palace ,67, 
9.,     Tottenham Hotspur ,67, 
10.,     Chelsea ,63, 
11.,     Southampton ,63, 
12.,     Brentford ,61, 
13.,     Arsenal ,60, 
14.,     Wolverhampton Wanderers ,59, 
15.,     Watford ,57, 
16.,     Leicester City ,55, 
17.,     Norwich City ,55, 
18.,     Liverpool ,50, 
19.,     West Ham United ,47, 
20.,     Manchester City ,42, 
