 Team,Matches,Attempts,Attempts on target,Attempts off Target,Attempts Blocked
  Liverpool ,31,416,215,201,165
  Manchester City ,31,402,208,194,163
  Arsenal ,30,319,149,170,141
  Chelsea ,30,314,168,146,128
  Manchester United ,31,308,155,153,124
  Leeds United ,32,306,137,169,122
  Southampton ,31,296,148,148,110
  Tottenham Hotspur ,32,295,161,134,110
  Brighton and Hove Albion ,32,292,118,174,120
  West Ham United ,32,280,135,145,108
  Aston Villa ,31,266,127,139,106
  Newcastle United ,31,265,116,149,107
  Watford ,31,249,111,138,81
  Wolverhampton Wanderers ,32,246,115,131,90
  Leicester City ,29,246,129,117,96
  Brentford ,32,245,127,118,104
  Crystal Palace ,31,237,114,123,90
  Burnley ,30,230,90,140,77
  Everton ,30,225,108,117,127
  Norwich City ,31,203,91,112,104
