 Team,Group Name,Matches,Wins,Draws,Losses,Points
  Manchester City ,,31,23,5,3,74
  Liverpool ,,31,22,7,2,73
  Tottenham Hotspur ,,32,18,3,11,57
  Chelsea ,,30,18,8,4,62
  Arsenal ,,30,17,4,10,55
  Wolverhampton Wanderers ,,32,15,4,13,49
  West Ham United ,,32,15,6,11,51
  Manchester United ,,31,14,10,8,52
  Aston Villa ,,31,11,3,17,36
  Leicester City ,,29,11,7,11,40
  Brentford ,,32,10,7,16,37
  Brighton and Hove Albion ,,32,9,13,10,40
  Everton ,,30,8,4,18,28
  Newcastle United ,,31,8,10,13,34
  Southampton ,,31,8,13,11,37
  Leeds United ,,32,8,9,15,33
  Crystal Palace ,,31,8,13,10,37
  Watford ,,31,6,5,21,23
  Norwich City ,,31,5,7,20,22
  Burnley ,,30,4,12,14,24
